Date,Open,High,Low,Close,Adj Close,Volume
2004-08-25,149.837006,149.837006,122.375000,123.494003,67.378128,136928
2004-08-26,124.000000,124.625000,121.912003,122.375000,66.767601,40443200
2004-08-27,122.800003,122.800003,119.820000,120.332001,65.652962,30646000
2004-08-30,121.237999,123.750000,120.625000,123.345001,67.296806,24465208
2004-08-31,123.311996,123.750000,122.000000,123.512001,67.387932,21194656
2004-09-01,123.750000,124.375000,122.949997,123.487999,67.374817,19935544
2004-09-02,123.737999,125.574997,123.250000,124.207001,67.767113,21356352
2004-09-03,125.750000,137.500000,123.794998,124.732002,68.053581,9869856
2004-09-06,129.988007,129.988007,124.112999,124.357002,67.848961,9038672
2004-09-07,129.375000,129.375000,124.375000,124.449997,67.899704,5772232
2004-09-08,124.500000,125.099998,123.887001,124.212997,67.770409,6593984
2004-09-09,124.625000,124.737999,122.307999,122.495003,66.833069,7947184
2004-09-10,123.750000,123.750000,122.000000,123.599998,67.435936,6415072
2004-09-13,123.875000,126.938004,123.875000,125.438004,68.438759,20904912
2004-09-14,125.625000,127.349998,125.370003,126.957001,69.267555,15335472
2004-09-15,127.250000,127.500000,125.150002,125.762001,68.615509,11988288
2004-09-16,125.875000,126.875000,125.311996,126.057999,68.777023,7358224
2004-09-17,126.500000,128.738007,126.287003,128.061996,69.870392,14627896
2004-09-20,129.050003,129.613007,127.519997,127.862999,69.761826,8552224
2004-09-21,128.106995,131.061996,127.750000,130.725006,71.323334,13897080
2004-09-22,131.050003,132.000000,129.636993,131.507996,71.750526,15371584
2004-09-23,131.000000,131.125000,128.375000,128.783005,70.263771,15819680
2004-09-24,128.636993,130.000000,128.250000,128.600006,70.163933,8083208
2004-09-27,128.438004,129.061996,126.875000,127.595001,69.615616,8229512
2004-09-28,127.000000,128.425003,126.561996,126.945000,69.260994,6339416
2004-09-29,127.407997,129.125000,127.019997,128.875000,70.313995,11737176
2004-09-30,129.449997,130.113007,127.582001,128.386993,70.047714,12521432
2004-10-01,128.625000,132.057007,128.294998,130.962006,71.452644,10968888
2004-10-04,132.125000,135.125000,131.807007,134.561996,73.416794,15129824
2004-10-05,135.037994,136.125000,134.438004,135.087006,73.703232,14341288
2004-10-06,135.125000,137.850006,134.382996,135.199997,73.764908,17670664
2004-10-07,135.375000,137.500000,135.375000,137.136993,74.821701,10080128
2004-10-08,137.250000,138.875000,136.875000,137.257996,74.887718,8558920
2004-10-11,137.500000,138.938004,135.625000,136.162994,74.290321,9332056
2004-10-12,138.750000,139.375000,134.707993,135.557007,73.959663,15600512
2004-10-13,null,null,null,null,null,null
2004-10-14,137.875000,140.500000,136.007996,139.524994,76.124596,19225984
2004-10-15,140.212006,142.625000,139.658005,140.750000,76.792961,17799744
2004-10-18,141.750000,142.750000,140.658005,142.158005,77.561150,13693344
2004-10-19,142.520004,143.587006,142.011993,142.899994,77.965981,11767128
2004-10-20,143.100006,143.738007,141.125000,141.658005,77.288391,7206832
2004-10-21,142.158005,142.375000,140.250000,140.695007,76.762978,6413520
2004-10-22,null,null,null,null,null,null
2004-10-25,140.625000,140.875000,138.845001,139.669998,76.203728,9390272
2004-10-26,139.449997,142.619995,139.449997,142.149994,77.556801,6932760
2004-10-27,142.783005,143.500000,141.899994,142.488007,77.741211,7837656
2004-10-28,143.125000,146.850006,143.125000,145.744995,81.228439,18591416
2004-10-29,145.994995,145.994995,143.145004,144.533005,80.552925,8661776
2004-11-01,143.750000,146.807007,142.787994,146.332993,81.556145,6137568
2004-11-02,141.250000,147.470001,140.625000,144.962006,80.792053,8864040
2004-11-03,145.125000,148.000000,145.125000,146.899994,81.872162,8978136
2004-11-04,147.720001,148.488007,145.962006,146.300003,81.537766,6555808
2004-11-05,146.744995,147.500000,145.000000,145.682007,81.193359,5023848
2004-11-08,145.625000,148.613007,144.500000,148.020004,82.496368,10291728
2004-11-09,148.375000,149.738007,147.125000,148.550003,82.791756,7338712
2004-11-10,148.875000,149.875000,148.761993,149.294998,83.206963,5734392
2004-11-11,149.875000,150.425003,148.886993,149.533005,83.339653,5235128
2004-11-12,150.500000,151.000000,148.774994,149.595001,83.374153,1813408
2004-11-15,null,null,null,null,null,null
2004-11-16,149.750000,149.750000,148.000000,148.863007,82.966187,4005504
2004-11-17,148.938004,151.238007,148.938004,150.675003,83.976082,5467936
2004-11-18,151.182007,154.320007,150.811996,153.875000,85.759521,7472128
2004-11-19,154.125000,154.625000,151.386993,152.136993,84.790939,6812760
2004-11-22,150.975006,153.250000,149.375000,152.807007,85.164322,4738272
2004-11-23,153.824997,155.250000,153.020004,154.445007,86.077232,4312792
2004-11-24,154.875000,155.625000,153.770004,154.238007,85.961891,3223304
2004-11-25,154.250000,155.500000,151.082993,152.106995,84.774185,6310872
2004-11-26,null,null,null,null,null,null
2004-11-29,152.000000,155.962006,150.695007,155.488007,86.658539,5281488
2004-11-30,156.020004,160.750000,155.625000,159.332993,88.801476,10508144
2004-12-01,160.125000,160.125000,157.125000,157.695007,87.888557,8481864
2004-12-02,158.125000,159.625000,154.886993,155.324997,86.567703,9657704
2004-12-03,156.158005,156.988007,152.695007,154.595001,86.160843,9777216
2004-12-06,155.000000,156.250000,151.061996,151.820007,84.614250,11473872
